id,nome,email,cpf,telefone,data_nascimento,idade,salario,status
1,IGOR SILVA,igor.silva@email.com,12345678900,11988881111,10/05/1990,34.0,3500.5,ATIVO
2,MARIA SOUZA,maria.souza@email,98765432100,11999998888,10/06/1985,38.0,4.5,ATIVO
3,JOAO PEREIRA,,11122233344,11977772222,15/07/1982,41.0,5200,INATIVO
4,ANA CLARA,ana.clara@email.com,22233344455,21988887777,15/08/1995,28.0,2800,ATIVO
5,CARLOS EDUARDO,carlos@email.com,33344455566,21999996666,01/12/1993,30.0,3000,ATIVO
6,PEDRO D'AVILA,fernanda.lima@email.com,44455566677,21988885555,01/01/1992,32.0,,ATIVO
7,ANTONIO CARLOS CONRADO,pedro.santos@email.com,55566677788,21988884444,20/03/1991,33.0,4100.75,ATIVO
8,CELY LEAL GETULINACELI LEAL SILVA,mariana.costa@email.com,66677788899,21999994444,11/11/1994,29.0,3900,ATIVO
9,ANGELA DE CARVALHO PRADO,lucas@email,77788899900,21988883333,02/02/1988,,6000,INATIVO
10,ANGELA MARIA ANDRADE PEREIRA,paula.teixeira@email.com,88899900011,21988882222,09/09/1987,37.0,5500.9,ATIVO
11,A J PRAZERES,renato.dias@email.com,99900011122,21999992222,10/10/1996,27.0,3200,ATIVO
12,JOAO BATISTA DE ABREU,bruna.rocha@email.com,,21988881111,04/04/1998,26.0,3100.3,ATIVO
13,CELY LEAL GETULINACELI LEAL SILVA,thiago.melo@email.com,12312312312,21977776666,05/05/2000,24.0,2700,ATIVO
14,ANGELA DE CARVALHO PRADO,amanda.silva@email.com,,21966665555,06/06/1999,25.0,2900,ATIVO
15,ANGELA MARIA ANDRADE PEREIRA,roberto.lima@email.com,45645645645,21955554444,07/07/1997,26.0,3300,ATIVO
16,A J PRAZERES,patricia.gomes@email.com,78978978978,21944443333,08/08/1995,29.0,3600,ATIVO
17,JOAO BATISTA DE ABREU,juliana.alves@email.com,15915915915,21933332222,09/09/1993,31.0,3800,ATIVO
18,MARCELO NUNES,marcelo.nunes@email.com,75375375375,21922221111,10/10/1992,32.0,4000.1,ATIVO
19,IGOR MICHALAWISKI MACHADO,camila.barros@email,95195195195,21911110000,,33.0,4200,ATIVO
20,,diego.ribeiro@email.com,85285285285,21900009999,12/12/1990,34.0,,ATIVO
21,IGOR SILVA,igor.silva@email.com,12345678900,11988881111,10/05/1990,34.0,3500.5,ATIVO
22,BEATRIZ CASTRO,beatriz.castro@email.com,74174174174,21988887776,01/01/1989,35.0,4700,ATIVO
23,GABRIEL MARTINS,gabriel.martins@email.com,96396396396,21999996665,02/02/1988,36.0,4900,ATIVO
24,HELENA DUARTE,helena.duarte@email.com,14714714714,21988885554,03/03/1987,37.0,5100,ATIVO
25,LEONARDO FREITAS,leonardo.freitas@email.com,25825825825,21977774443,04/04/1986,38.0,5300,ATIVO
26,SOFIA RAMOS,sofia.ramos@email.com,36936936936,21966663332,05/05/1985,39.0,5500,ATIVO
27,MATHEUS CARDOSO,matheus.cardoso@email.com,15975315975,21955552221,06/06/1984,40.0,5700,ATIVO
28,LARISSA MENDES,larissa.mendes@email.com,75315975315,21944441110,07/07/1983,41.0,5900,ATIVO
29,RAFAEL PINTO,rafael.pinto@email.com,45612378945,21933330009,08/08/1982,42.0,6100,ATIVO
30,ISABELA MOREIRA,isabela.moreira@email.com,78945612378,21922229998,09/09/1981,43.0,6300,ATIVO
31,DANIEL CARVALHO,daniel.carvalho@email.com,95175385295,21911118887,10/10/1980,44.0,6500,ATIVO
32,,carolina.araujo@email.com,85274196385,21900007776,11/11/1979,45.0,6700,ATIVO
33,GUSTAVO FERREIRA,gustavo.ferreira@email.com,14725836914,21899996665,12/12/1978,46.0,6900,ATIVO
34,VANESSA BATISTA,vanessa.batista@email.com,36925814736,21888885554,01/01/1977,47.0,7100,ATIVO
35,IGOR LIMA,igor.lima@email.com,12378945612,21877774443,02/02/1976,48.0,7300,ATIVO
36,JULIA SANTOS,julia.santos@email.com,45698712345,21866663332,03/03/1975,49.0,7500,ATIVO
37,ANDERSON SOUZA,anderson.souza@email.com,78912345678,21855552221,04/04/1974,50.0,7700,ATIVO
38,PRISCILA ROCHA,priscila.rocha@email.com,15935725815,21844441110,05/05/1973,51.0,7900,ATIVO
39,FELIPE DIAS,felipe.dias@email.com,75395145675,21833330009,06/06/1972,52.0,8100,ATIVO
40,ALINE COSTA,aline.costa@email.com,95135785295,21822229998,07/07/1971,53.0,8300,ATIVO
41,THIAGO GOMES,thiago.gomes@email.com,85296374185,21811118887,08/08/1970,54.0,8500,ATIVO
42,BIANCA ALVES,bianca.alves@email.com,74185296374,21800007776,09/09/1969,55.0,8700,ATIVO
43,RODRIGO MARTINS,rodrigo.martins@email.com,36914725836,21799996665,10/10/1968,56.0,8900,ATIVO
44,LETICIA BARROS,leticia.barros@email.com,25836914725,21788885554,11/11/1967,57.0,9100,ATIVO
45,HENRIQUE NUNES,henrique.nunes@email.com,14736925814,21777774443,12/12/1966,58.0,9300,ATIVO
46,NATALIA RIBEIRO,natalia.ribeiro@email.com,36974125836,21766663332,01/01/1965,59.0,9500,ATIVO
47,SAMUEL FREITAS,samuel.freitas@email.com,25814736925,21755552221,02/02/1964,60.0,9700,ATIVO
48,CLARA MENDES,clara.mendes@email.com,14725896314,21744441110,03/03/1963,61.0,9900,ATIVO
49,VICTOR PINTO,victor.pinto@email.com,36925874136,21733330009,04/04/1962,62.0,10100,ATIVO
50,LAURA MOREIRA,laura.moreira@email.com,25896314725,21722229998,05/05/1961,63.0,10300,ATIVO
